LANG_ISO;GENEALOGICAL_AFFILIATION;MACRO_AREA;ENC_AVAILABLE;DISTINCT_FROM_CN;RELATED_TO_CN
koasati;muskogean, alabaman-koasati;north america-mesoamerica;no;dna;dna
konai;east strickland, konai;australia-papua new guinea;no;dna;dna
korafe-yegha;nuclear trans new guinea, greater binanderean;australia-papua new guinea;no;dna;dna
korean;koreanic, korean;eurasia;no;dna;dna
koreguaje;tucanoan, western tucanoan;south america;no;dna;dna
kotiria;tucanoan, eastern tucanoan;south america;no;dna;dna
koyra chiini songhay;songhay, northwest songhay;africa;no;dna;dna
kuku-yalanji;pama-nyungan, yimidhirr-yalanji-yidinic;australia-papua new guinea;no;dna;dna
kunama;language isolate;africa;no;dna;dna
kuot;language isolate;australia-papua new guinea;no;dna;dna
kusunda;language isolate;eurasia;no;dna;dna
kutenai;language isolate;north america-mesoamerica;no;dna;dna
kwomtari;kwomtari-nai, kwomtari;australia-papua new guinea;no;dna;dna
lao;tai-kadai, kam-tai;southeast asia-oceania;no;dna;dna
laven;austroasiatic, bahnaric;southeast asia-oceania;no;dna;dna
lavukaleve;language isolate;southeast asia-oceania;no;dna;dna
laz (arhavi);kartvelian, georgian-zan;eurasia;no;dna;dna
limilngan;limilngan-wulna, limilngan;australia-papua new guinea;no;dna;dna
lowland oaxaca chontal;tequistlatecan, lowland oaxaca chontal;north america-mesoamerica;no;dna;dna
lumun;narrow talodi, lumun-torona;africa;no;dna;dna
maba (chad);maban, mabang;africa;no;dna;dna
maco;jodi-saliban, saliban;south america;no;dna;dna
madi;arawan, madi-madiha;south america;no;dna;dna
madurese;austronesian, malayo-polynesian;southeast asia-oceania;no;dna;dna
maltese;afro-asiatic, semitic;eurasia;yes;yes;no
mamaindé;nambiquaran, nambikwara complex;south america;no;dna;dna
mamvu;central sudanic, membi-mangbutu-efe;africa;no;dna;dna
manambu;ndu, nuclear ndu;australia-papua new guinea;no;dna;dna
mangarrayi-maran;mangarrayi-maran, mangarrayi;australia-papua new guinea;no;dna;dna
maore comorian;atlantic-congo, volta-congo;africa;no;dna;dna
marind;anim, marind-boazi-yaqai;australia-papua new guinea;no;dna;dna
marithiel;western daly, bringen;australia-papua new guinea;no;dna;dna
mateq;austronesian, malayo-polynesian;southeast asia-oceania;no;dna;dna
mauwake;nuclear trans new guinea, madang;australia-papua new guinea;no;dna;dna
mapudungun;araucanian, mapudungun;south america;no;dna;dna
maquiritari;cariban, guianan;south america;no;dna;dna
mbugu;pidgins and creoles;africa;no;dna;dna
menya;angan, nuclear angan;australia-papua new guinea;no;dna;dna
meriam;eastern trans-fly, meriam;australia-papua new guinea;no;dna;dna
midob;nubian, west-central nubian;africa;yes;yes;no
migabac;nuclear trans new guinea, finisterre-huon;australia-papua new guinea;no;dna;dna
mískito;misumalpan, mískito;north america-mesoamerica;no;dna;dna
mosetén-chimané;language isolate;south america;no;dna;dna
moskona;east bird’s head, meax;australia-papua new guinea;no;dna;dna
mullukmulluk;northern daly, mullukmulluk;australia-papua new guinea;no;dna;dna
murui huitoto;huitotoan, nuclear witotoan;south america;no;dna;dna
nangikurrunggurr;southern daly, nangikurrunggurr;australia-papua new guinea;no;dna;dna
nǁng;tuu, !kwi;africa;no;dna;dna
neverver;austronesian, malayo-polynesian;southeast asia-oceania;no;dna;dna
ngalkbun;gunwinyguan, marne;australia-papua new guinea;no;dna;dna
ngizim;afro-asiatic, chadic;africa;no;dna;dna
nhanda;pama-nyungan, south-west pama-nyungan;australia-papua new guinea;no;dna;dna
nias;austronesian, malayo-polynesian;southeast asia-oceania;no;dna;dna
nigerian pidgin;pidgins and creoles;africa;no;dna;dna
nihali;language isolate;eurasia;no;dna;dna
nivaclé;matacoan, mataguayo i;south america;no;dna;dna
nivkh (amur);language isolate;eurasia;yes;yes;no
north slavey;athabaskan-eyak-tlingit, athabaskan-eyak;north america-mesoamerica;no;dna;dna
north-central ju;kxa, ju-jung;africa;no;dna;dna
northeast kiwai (urama);kiwaian, northeast kiwai;australia-papua new guinea;no;dna;dna
northern emberá;chocoan, embera;south america;no;dna;dna
northern haida;haida, northern haida;north america-mesoamerica;no;dna;dna
northern yokuts;yokutsan, general yokuts;north america-mesoamerica;no;dna;dna
northwest gbaya;atlantic-congo, volta-congo;africa;no;dna;dna
northwest sahaptin;sahaptian, sahaptin;north america-mesoamerica;no;dna;dna
nuu-chah-nulth;wakashan, southern wakashan;north america-mesoamerica;no;dna;dna
nzadi;atlantic-congo, volta-congo;africa;no;dna;dna
okanagan;salishan, interior salish;north america-mesoamerica;no;dna;dna
oksapmin;nuclear trans new guinea, asmat-awyu-ok;australia-papua new guinea;no;dna;dna
